step,cwnd,rtt,srtt,rtt_dev,lost,in_flight,delivery_rate,crt_proto_id,thruput,loss_rate,srtt_avg_10,srtt_min_10,srtt_max_10,srtt_avg_200,srtt_min_200,srtt_max_200,srtt_avg_1000,srtt_min_1000,srtt_max_1000,rtt_dev_avg_10,rtt_dev_min_10,rtt_dev_max_10,rtt_dev_avg_200,rtt_dev_min_200,rtt_dev_max_200,rtt_dev_avg_1000,rtt_dev_min_1000,rtt_dev_max_1000,lost_avg_10,lost_min_10,lost_max_10,lost_avg_200,lost_min_200,lost_max_200,lost_avg_1000,lost_min_1000,lost_max_1000,in_flight_avg_10,in_flight_min_10,in_flight_max_10,in_flight_avg_200,in_flight_min_200,in_flight_max_200,in_flight_avg_1000,in_flight_min_1000,in_flight_max_1000,thruput_avg_10,thruput_min_10,thruput_max_10,thruput_avg_200,thruput_min_200,thruput_max_200,thruput_avg_1000,thruput_min_1000,thruput_max_1000,arm_0,arm_1,arm_2,arm_3,arm_4,arm_5,arm_6,arm_7,arm_8,arm_9,arm_10,reward
0,86.03658536585365,47.01157926829267,376924.5243902439,21738.829268292684,2.432926829268293,61.44512195121951,46.02439024390244,2.0,9.60437660060975,0.026249999999999992,375292.8350609759,344006.9603658537,405702.43902439025,351817.0217573173,221371.17073170733,683444.5030487805,311982.01069762197,188568.0,693561.1737804879,21827.999085365864,14049.457317073171,29870.503048780487,22333.21787637195,4200.253048780488,110866.31402439025,21447.893977804877,4109.481707317073,118826.49390243902,2.432926829268293,1.5670731707317074,3.3658536585365852,2.1391920731707343,0.0,17.850609756097562,1.1980086890243906,0.0,18.051829268292682,61.039024390243924,56.5030487804878,65.42378048780488,54.50178887195121,21.932926829268293,102.03658536585365,43.16033704268292,0.0,102.03658536585365,9.577832164634147,8.778775091463423,10.502571981707321,8.925543658536586,3.4342145426829496,13.751972164634214,8.339481646341467,0.0,14.020136158536616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.894274169326
1,66.05020920502092,33.3808158995816,274137.3389121339,3564.543933054393,0.0,33.39748953974895,34.59832635983263,2.0,11.275781117154812,0.0,277123.8878661087,269847.64435146446,285412.89539748954,345948.32920502085,242173.10460251046,689336.4476987447,355203.37506468623,188568.0,823001.0,4848.203765690373,2577.803347280335,8087.188284518828,14330.747677824264,699.8786610878661,116071.0920502092,18844.76743217573,696.581589958159,139220.0,0.0,0.0,0.0,0.5899581589958158,0.0,4.891213389121339,1.4775099581589957,0.0,27.0,33.178242677824265,32.01673640167364,34.47280334728033,44.29184100418411,20.694560669456067,78.56066945606695,50.79892146443508,0.0,122.0,11.174890627615069,10.702840418410068,11.640548870292884,10.703910836820091,6.028129707112974,12.031187615062702,9.527903012552304,0.0,14.557170000000033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3808.871074648153
2,59.261410788381745,45.00514937759335,367406.34024896263,3815.0705394190873,0.0,44.68879668049792,46.02074688796681,2.0,11.40970173029046,0.0,366236.95601659775,362109.45643153525,370570.14107883815,340694.9457261412,303080.6307053942,388032.3112033195,346891.062261411,228076.0,804415.9834024897,3792.264730290455,2632.721991701245,5097.6556016597515,4053.9555186721996,833.6099585062241,11254.402489626556,10920.303182572614,494.0,139220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8651576763485486,0.0,20.96265560165975,44.61078838174277,43.63070539419087,45.850622406639005,41.86491701244817,36.71369294605809,49.356846473029044,46.87307468879666,19.0,118.59336099585062,11.404284190871373,11.101741161825741,11.605797676348546,11.386551742738588,10.121827136929427,11.92180543568468,10.74164962655601,4.232300000000006,13.501016970954351,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2892.586410550204
3,60.20083682008368,52.05814225941421,423572.669456067,3860.8493723849374,0.0,52.33891213389121,53.13389121338912,2.0,11.391507631799168,0.0,422375.7523012552,418226.0251046025,426740.1548117155,404916.3664435145,378200.94142259413,436916.12970711297,347721.1413640169,258474.6150627615,474588.05439330544,3800.6263598326354,2515.4225941422596,5368.539748953975,3691.200334728036,846.1129707112971,12460.690376569039,3969.8581046025106,352.0,29673.401673640168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2439330543933,51.28870292887029,53.37656903765691,49.734707112970725,45.19665271966527,56.10460251046025,42.3697991631799,29.401673640167363,56.58158995815899,11.39654225941422,11.141406276150617,11.644783096234326,11.379455523012554,10.362503974895422,12.085027280334709,11.33175518828451,9.045505899581562,12.085027280334709,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2492.721557751433
4,58.11570247933884,54.561123966942134,443688.0867768595,3073.971074380165,0.0,53.8099173553719,55.599173553719005,2.0,11.396565185950411,0.0,443397.1318181817,440131.847107438,446821.6074380165,452900.0984297523,428098.19008264464,484256.53719008266,417664.34156611573,345318.46280991734,490115.0,3072.2074380165313,2138.8512396694214,4097.946280991736,3353.655599173556,903.5454545454545,9100.63223140496,3545.2223925619787,352.0,13981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84752066115703,52.888429752066116,55.03719008264463,54.62778925619833,50.43801652892562,59.53719008264463,50.884566115702484,41.33471074380165,60.0,11.382982768595046,11.134437975206604,11.605044421487612,11.386957231404967,10.27893760330574,11.91642367768597,11.375528719008269,10.078420000000001,12.130079999999944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.4807686728427
5,78.9771689497717,33.613589041095885,281750.62557077623,9763.995433789954,0.0,34.182648401826484,35.03196347031963,2.0,10.884813420091334,0.0,284325.1803652967,274101.3378995434,296489.1552511416,344498.36262557073,232470.7808219178,475054.8447488584,425480.44185844745,232470.7808219178,490115.0,9936.593607305931,5494.652968036529,15026.611872146119,9405.194748858445,971.4063926940639,79994.23744292237,4757.695095890412,605.0,83601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.440639269406404,32.31050228310502,36.16438356164384,41.25127853881273,17.579908675799086,56.04109589041096,51.62777168949774,17.579908675799086,60.0,10.89362963470319,10.078868675799088,11.64721082191779,10.85125191780822,4.949151095890397,12.278693881278562,11.265174200913245,4.904285251141544,12.286584657534268,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3524.73984236652
6,58.252100840336134,47.076470588235296,385766.9495798319,3702.4621848739494,0.0,47.054621848739494,48.294117647058826,2.0,11.34375489915966,0.0,385847.0499999998,381712.8109243697,390197.96638655465,383309.10731092456,367890.05462184874,408317.82773109246,381483.5648613446,221248.0,487626.3025210084,3789.401680672266,2624.3823529411766,5138.714285714285,3727.464306722691,646.8361344537815,10319.05462184874,5033.828004201678,499.0,83601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.903781512605036,45.99159663865546,48.319327731092436,46.6956512605042,43.82773109243698,52.096638655462186,46.44855462184872,16.0,58.46218487394958,11.342405042016813,11.004295210084033,11.597997016806737,11.340058697478996,10.087739747899194,11.9782352941176,11.251809537815115,4.870729999999998,12.300600000000024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2733.4414374433454
7,56.8477366255144,53.80141563786009,438579.14814814815,3297.864197530864,0.0,52.81069958847737,54.84362139917695,2.0,11.358419679012343,0.0,438930.3827160497,435158.11522633745,442937.3827160494,441758.51495884784,423720.95884773665,473483.6255144033,386543.49288477364,250767.5514403292,477687.8271604938,3217.302469135802,2320.8683127572017,4231.01646090535,3512.6237860082297,513.8518518518518,9848.543209876543,4307.236835390945,458.0,30601.037037037036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.87283950617284,52.03292181069959,53.757201646090536,53.644753086419705,50.69135802469136,58.81481481481482,47.400386831275725,27.448559670781894,60.0,11.372706049382712,11.14405814814813,11.572865144032933,11.368879917695482,10.155923292181088,11.86447954732507,11.348535884773662,8.197060411522655,12.113692345678961,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2397.960962669433
8,59.28099173553719,52.33104958677689,426938.5123966942,3498.4338842975208,0.0,52.289256198347104,53.37603305785124,2.0,11.34566308264463,0.0,426781.6057851241,423298.03719008266,430726.5991735537,423573.1464876032,411028.9380165289,453049.96694214875,422558.38757851237,373038.04545454547,475402.0,3501.2305785123976,2392.0661157024792,4719.161157024793,3456.0367148760347,427.8223140495868,9766.202479338843,3702.5130537190053,372.0,13163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.15123966942151,51.16115702479339,53.603305785123965,51.59169421487604,49.099173553719005,57.768595041322314,51.485285123966925,44.78099173553719,60.0,11.345674586776862,11.084678760330581,11.582614049586773,11.364897190082639,10.336313801652851,11.830754214875984,11.359586859504125,9.964219999999997,11.9736402479339,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459.8028964914706
9,78.64135021097046,34.619063291139234,285838.44725738396,3564.4556962025317,0.0,34.860759493670884,35.586497890295355,2.0,11.299977400843872,0.0,285024.7510548522,281153.35021097044,289152.0928270042,375725.29286919837,246710.3459915612,853002.4683544304,422641.3001476795,246544.0,1082925.0,3633.266666666667,2391.603375527426,5055.4135021097045,17213.867004219428,632.7088607594936,140338.28270042193,7711.394620253162,372.0,204929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.63628691983121,33.70042194092827,35.79746835443038,37.52702531645571,26.949367088607595,51.08016877637131,48.79324894514767,26.0,59.0,11.299881434599156,10.950835949367088,11.63044008438819,10.314502362869197,4.462433080168787,11.999182489451467,11.03677603375528,2.705140000000017,12.007984641350166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3688.4153140912963
